body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,analysis_body_id,source_root_id,analysis_hemisphere,primary_flywire_name,comparison_name,recommended_match_group,comparison_LN_class,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,top_nt,top_nt_conf,known_nt,known_nt_source
7205759406324039862,il3LN6_R,il3LN6,il3LN6,il3LN,8811.0,553.0,8258.0,0.874475087958234,0.8577403604175546,2436.0,20688.0,0.1177494199535963,11.77494199535963,3.905645784996133,0.2559769998991223,0.8924867791616943,45,46,43,1.0,6.819614133263218,1,True,7205759406324039862,720575940632403986,R,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,AL local neuron;ALLN;Keystone;il3LN6;il3LN6 Taisz ... Galili 2022 doi:10.1101/2022.05.13.491877,,il3LN6,gaba,0.339837240484168,gaba,"Tanaka et al., 2012"
7205759406236367011,il3LN6_L,il3LN6,il3LN6,il3LN,8955.0,630.0,8325.0,0.8592964824120602,0.8828636467953483,2052.0,19814.0,0.1035631371757343,10.356313717573434,2.9524578580801455,0.2301403048349651,0.8644519063779561,45,45,43,1.0,6.553903609599184,2,True,7205759406236367011,720575940623636701,L,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,AL local neuron;ALLN;Keystone;il3LN6,,il3LN6,acetylcholine,0.3177111396127737,gaba,"Tanaka et al., 2012"
7205759406324039861,il3LN6_L,il3LN6,il3LN6,il3LN,8046.0,565.0,7481.0,0.8595575441213025,0.8187013301691206,1950.0,18397.0,0.1059955427515355,10.599554275153558,3.1526879382508017,0.2408989607989445,0.8655643986186184,45,44,42,1.0,6.512091624129932,3,True,7205759406324039861,720575940632403986,L,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,AL local neuron;ALLN;Keystone;il3LN6;il3LN6 Taisz ... Galili 2022 doi:10.1101/2022.05.13.491877,,il3LN6,gaba,0.339837240484168,gaba,"Tanaka et al., 2012"
7205759406236367012,il3LN6_R,il3LN6,il3LN6,il3LN,6856.0,429.0,6427.0,0.8748541423570595,0.8983563167181146,1504.0,14577.0,0.1031762365370103,10.317623653701036,3.6770254510530287,0.2516493574073423,0.8931460469351357,42,41,40,1.0,6.40091248056352,4,True,7205759406236367012,720575940623636701,R,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,AL local neuron;ALLN;Keystone;il3LN6,,il3LN6,acetylcholine,0.3177111396127737,gaba,"Tanaka et al., 2012"
7205759406345458902,lLN2F_b_R,lLN2F_b,lLN2F,lLN2F,7279.0,811.0,6468.0,0.7771671932957824,0.7948575495996888,2115.0,40497.0,0.0522260908215423,5.222609082154234,0.6691853717559325,0.1044521816430846,0.7776657677814186,48,50,48,1.0,5.95098897649095,5,True,7205759406345458902,720575940634545890,R,lLN2F_b,lLN2F_b,lLN2F,lLN2F,lLN2F_b,lLN2F,AL local neuron;ALLN;lLN2F_b,,lLN2F_b,gaba,0.5456065905294333,,
7205759406319758841,lLN2X12_L,lLN2X12,lLN2X12,other lLN,658.0,54.0,604.0,0.8358662613981763,0.7042613486832948,1160.0,7889.0,0.1470401825326403,14.704018253264037,2.3957409050576755,0.3128514521971072,0.745177623162615,45,47,44,1.0,5.898739118440487,6,True,7205759406319758841,720575940631975884,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.4358955346840308,,
7205759406255844842,lLN2X10_R,lLN2X10,lLN2X10,other lLN,880.0,78.0,802.0,0.8227272727272728,0.8399007084127355,1295.0,8636.0,0.1499536822603057,14.99536822603057,2.605372857804539,0.3124035047089702,0.7904952238894429,44,48,43,1.0,5.896517526005054,7,True,7205759406255844842,720575940625584484,R,lLN2X10,lLN2X10,lLN2X10,lLN2X10,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X10;left,lLN2X10,,acetylcholine,0.4396491575211894,,
7205759406067519221,lLN2X12_L,lLN2X12,lLN2X12,other lLN,722.0,55.0,667.0,0.8476454293628809,0.7125160062101813,948.0,6999.0,0.1354479211315902,13.544792113159025,1.8288326903843408,0.3009953802924227,0.7789056731355913,40,45,38,1.0,5.810955934555784,8,True,7205759406067519221,720575940606751922,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.4067475897228651,,
7205759406175867571,lLN2X12_L,lLN2X12,lLN2X12,other lLN,729.0,66.0,663.0,0.8189300411522634,0.8165107408495905,1102.0,7691.0,0.1432843583409179,14.328435834091795,1.9503315563645824,0.3114877355237347,0.810474526373935,41,46,39,1.0,5.7372510898413465,9,True,7205759406175867571,720575940617586757,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.4285663883358714,,
7205759406226508792,lLN2X12_R,lLN2X12,lLN2X12,other lLN,611.0,57.0,554.0,0.8134206219312602,0.857626290269787,1125.0,7587.0,0.1482799525504152,14.82799525504152,1.752998550151575,0.3295110056675893,0.7862502820660087,41,45,41,1.0,5.715440464686938,10,True,7205759406226508792,720575940622650879,R,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;left,lLN2X12,,acetylcholine,0.4082527120833314,,
