combined_LN_type,broad_LN_group,n_ln_body_ids,source_root_ids,source_LN_types,source_LN_instances,source_flywire_LN_types,source_hemibrain_types,source_recommended_match_groups,source_comparison_LN_classes,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,orn_input_weighted_contra_preference,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,median_body_convergence_score,sum_body_convergence_score,type_score_rank
il3LN6,il3LN,4,2,il3LN6,il3LN6_L;il3LN6_R,il3LN6,il3LN6,il3LN6,il3LN6,32668.0,7942.0,1985.5,2001.0,0.8670458142121641,0.8670163160397683,0.8667197257254806,10.762108410446913,10.477933996363497,3.421954258095027,0.8789122827733511,6.571630461888963,6.532997616864558,26.286521847555854,1
lLN2X11,other lLN,4,4,lLN2X11,lLN2X11_L;lLN2X11_R,lLN2X11,,lLN2X11,lLN2X11,4042.0,7024.0,1756.0,1737.5,0.7107458134261602,0.7063765143746914,0.7120237506185056,13.71998042900689,13.763608674250449,1.6796876844045778,0.6822131750913585,5.304266763885937,5.283627349427977,21.217067055543748,2
lLN2X07,other lLN,3,3,lLN2X07,lLN2X07_L;lLN2X07_R,lLN2X07,,lLN2X07,lLN2X07,1684.0,1799.0,599.6666666666666,598.0,0.825261551078026,0.8272327964860908,0.8242280285035629,10.58749799075917,10.376539996529583,2.190809503218295,0.7912468627856631,5.280114324238959,5.302706893573769,15.840342972716877,3
lLN2X12,other lLN,13,13,lLN2X12,lLN2X12_L;lLN2X12_R,lLN2X12,,lLN2X12,lLN2X12,10242.0,14404.0,1108.0,1108.0,0.7431167162888307,0.719626168224299,0.7346221441124781,13.814116014117765,13.669873797326002,1.8377712029724418,0.7154947171755969,5.207083429625407,5.067813413451964,67.69208458513029,4
lLN2F,lLN2F,8,8,lLN2F_a;lLN2F_b,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,lLN2F_a;lLN2F_b,lLN2F_a;lLN2F_b,lLN2F,lLN2F,50179.0,13533.0,1691.625,1653.5,0.700168737200585,0.7029945345392082,0.7145817971661452,5.6460033671378875,5.750467748939338,0.7929633631006254,0.7033864575305806,5.202836578479577,5.215268182470278,41.622692627836614,5
lLN2X10,other lLN,4,4,lLN2X10,lLN2X10_L;lLN2X10_R,lLN2X10,,lLN2X10,lLN2X10,2271.0,4231.0,1057.75,1068.5,0.7430571647291989,0.7578745710121761,0.7525319242624394,15.248506642686973,14.941374332083473,2.406016427594203,0.736592205883784,5.168607092071468,5.2110139189168745,20.674428368285874,6
lLN2X04,other lLN,4,4,lLN2X04,lLN2X04_L;lLN2X04_R,lLN2X04,,lLN2X04,lLN2X04,5572.0,9740.0,2435.0,2444.0,0.6572888752143772,0.6598929974986538,0.6572146446518305,16.52626506367997,16.480134464743593,1.582483113838779,0.6557347662654764,5.124219554699575,5.154825565180481,20.4968782187983,7
lLN2X05,other lLN,4,4,lLN2X05,lLN2X05_L;lLN2X05_R,lLN2X05,,lLN2X05,lLN2X05,2401.0,5996.0,1499.0,1502.5,0.662903222032084,0.6647841173896674,0.6643065389421074,14.503181413992678,14.34670168138091,2.184359894699741,0.6739424574569991,4.84340456066831,4.863120642354176,19.37361824267324,8
lLN2X06,other lLN,3,3,lLN2X06,lLN2X06_L;lLN2X06_R,lLN2X06,,lLN2X06,lLN2X06,1293.0,1262.0,420.6666666666667,407.0,0.7203853888923577,0.7601918465227818,0.7277648878576953,7.269855882997401,6.912531376713652,1.927698896416487,0.7889496877157075,4.354138636576052,4.643998562186744,13.062415909728156,9
v2LN30,v2LN3,2,2,v2LN30,v2LN30_L;v2LN30_R,v2LN30,v2LN30,v2LN30,v2LN30,4309.0,21787.0,10893.5,10893.5,0.4189008626448984,0.4189008626448984,0.41749825945695057,32.12765918085675,32.12765918085675,3.893992531480039,0.3742177997180242,3.8976197197367703,3.8976197197367703,7.795239439473541,10
