bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,input_glomerulus,mPN_type,mPN_instance
1666915198,1700307582,34,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 34, 'post': 34}, 'AL-DP1m(R)': {'pre': 33, 'post': 33}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1m,M_l2PNl21,M_l2PNl21_R
1666914838,1700307582,31,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 30, 'post': 30}, 'AL-DP1m(R)': {'pre': 28, 'post': 28}, 'LX(R)': {'pre': 1, 'post': 1}, 'LAL(R)': {'pre': 1, 'post': 1}, 'LAL(-GA)(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}}",DP1m,M_l2PNl21,M_l2PNl21_R
1666910636,1700307582,28,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 28, 'post': 27}, 'AL-DP1m(R)': {'pre': 27, 'post': 26}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}, 'LX(R)': {'post': 1}, 'LAL(R)': {'post': 1}, 'LAL(-GA)(R)': {'post': 1}}",DP1m,M_l2PNl21,M_l2PNl21_R
1730315051,1700307582,28,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 28, 'post': 28}, 'AL-DP1m(R)': {'pre': 27, 'post': 27}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1m,M_l2PNl21,M_l2PNl21_R
1666915286,1700307582,27,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 27, 'post': 27}, 'AL-DP1m(R)': {'pre': 25, 'post': 25}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}}",DP1m,M_l2PNl21,M_l2PNl21_R
1762657390,1693827279,26,ORN_DL2v,M_adPNm8,ORN_DL2v_R,M_adPNm8_R,"{'AL(R)': {'pre': 26, 'post': 26}, 'AL-DL2v(R)': {'pre': 25, 'post': 25}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}}",DL2v,M_adPNm8,M_adPNm8_R
1697600363,1700307582,24,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 24, 'post': 24}, 'AL-DP1m(R)': {'pre': 24, 'post': 24}}",DP1m,M_l2PNl21,M_l2PNl21_R
1697280776,1700307582,23,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 23, 'post': 23}, 'AL-DP1m(R)': {'pre': 19, 'post': 20}, 'AL-DP1l(R)': {'pre': 4, 'post': 3}}",DP1m,M_l2PNl21,M_l2PNl21_R
1697285165,1700307582,23,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 23, 'post': 23}, 'AL-DP1m(R)': {'pre': 22, 'post': 22}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1m,M_l2PNl21,M_l2PNl21_R
1666578620,1700307582,21,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-DP1m(R)': {'pre': 21, 'post': 21}}",DP1m,M_l2PNl21,M_l2PNl21_R
1793692357,1693827279,21,ORN_DL2v,M_adPNm8,ORN_DL2v_R,M_adPNm8_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-DL2v(R)': {'pre': 16, 'post': 15}, 'AL-VL2a(R)': {'pre': 3, 'post': 3}, 'AL-DP1l(R)': {'pre': 2, 'post': 3}}",DL2v,M_adPNm8,M_adPNm8_R
1697604748,1700307582,20,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 20, 'post': 20}, 'AL-DP1m(R)': {'pre': 20, 'post': 20}}",DP1m,M_l2PNl21,M_l2PNl21_R
1730647280,1700307582,19,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 19, 'post': 19}, 'AL-DP1m(R)': {'pre': 19, 'post': 19}}",DP1m,M_l2PNl21,M_l2PNl21_R
