body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,log_pn_output_weight_total
5901206553,il3LN6_L,il3LN6,il3LN6,il3LN,6492.0,1050.0,5442.0,0.6765249537892791,0.48999679299486043,1841.0,6330.0,0.29083728278041077,29.083728278041075,8.167456556082149,0.7653612704747651,0.5637618844768733,26,38,26,1.0,5.086525399915679,1,True,3.26528962586083
5813018460,il3LN6_R,il3LN6,il3LN6,il3LN,6266.0,1125.0,5141.0,0.6409192467283754,0.49632285264744996,2009.0,7089.0,0.28339681196219496,28.339681196219495,7.47637184370151,0.7266584922107564,0.4099628063866705,27,39,26,1.0,4.874761290173849,2,True,3.303196057420489
5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,688.0,142.0,546.0,0.5872093023255814,0.6516443837547734,1550.0,4670.0,0.3319057815845824,33.19057815845824,5.524625267665953,0.6914703783012134,0.659404166878287,22,48,22,1.0,4.314024252795527,3,True,3.190611797813605
1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,1013.0,187.0,826.0,0.6307996051332675,0.5681017273111535,843.0,3245.0,0.25978428351309707,25.978428351309706,5.454545454545454,0.5647484424197763,0.5627691234438776,22,46,22,1.0,4.2504239329188716,4,True,2.926342446625655
1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,752.0,156.0,596.0,0.5851063829787234,0.48031322651384456,1296.0,4289.0,0.30216833760783396,30.216833760783395,5.549079039403124,0.6295173700163208,0.5049575047803772,25,48,25,1.0,4.193930905717068,5,True,3.11293997608408
5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,1134.0,251.0,883.0,0.5573192239858906,0.2550071604457552,1638.0,5650.0,0.28991150442477875,28.991150442477874,5.0265486725663715,0.6039823008849557,0.4287866039119854,28,48,28,1.0,4.125188604732011,6,True,3.214578953570499
1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,518.0,103.0,415.0,0.6023166023166023,0.35988664586456226,903.0,3500.0,0.258,25.8,5.057142857142857,0.5375,0.47748428208077226,25,48,25,1.0,4.099866332900307,7,True,2.9561684304753633
1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,1072.0,230.0,842.0,0.5708955223880597,0.29676073451655816,1170.0,4402.0,0.26578827805542937,26.578827805542936,5.338482507950931,0.56550697458602,0.4740384654457056,26,47,26,1.0,4.033727032203175,8,True,3.068556895072363
1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,986.0,216.0,770.0,0.5618661257606491,0.406383389149745,1191.0,4481.0,0.26578888640928366,26.578888640928366,5.28899799151975,0.5778019269767036,0.46094162020324947,24,46,24,1.0,3.979915687205288,9,True,3.076276255404218
1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T,876.0,177.0,699.0,0.5958904109589042,0.5380140131636806,719.0,3294.0,0.2182756527018822,21.82756527018822,3.764420157862781,0.7795559025067221,0.5606803028684745,18,28,18,1.0,3.9205127085265676,10,True,2.8573324964312685
